marca;descrição;nome_sku;link_foto;x;y;endereço
Skol Puro Malte;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7d20d569dbba88890dd87b0f6a4573e9.png;195;1;data\img\SkolPuroMalte_ShrinkLataStd12x350ml.png
Brahma Chopp;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/dd5bf28ce556a07e0faa7c701fdd39ba.png;480;1;data\img\BrahmaChopp_LataSleek269ml.png
Guaraná Antarctica Natu;Suada - Frontal;Garrafa Vidro 275ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/33463968522b2d8c211662293f124a42.png;2990;1;data\img\GuaranaAntarcticaNatu_GarrafaVidro275ml.png
Pepsi Cola;Regular - Frontal;Garrafa Pet 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/dc37a3663da9b1eefead57e8bf9ca12a.png;3045;1;data\img\PepsiCola_GarrafaPet1L.png
H2OH Limão;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8fbe4a6ca09aefd6db270e57994390f8.png;3155;1;data\img\H2OHLimao_LataSleek269ml.png
H2OH Limoneto;Suada - Frontal;Garrafa Pet 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/e797391cc5947776ff8f4df17a00de8f.png;3190;1;data\img\H2OHLimoneto_GarrafaPet500ml.png
Do Bem Pêssego;Regular - Frontal;Garrafa Cartonada 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/c3e132b1f525207f8b3ad8141c21c6e1.png;3445;1;data\img\DoBemPessego_GarrafaCartonada1L.png
Beats Senses;Regular - Esquerda;Shrink Lata Sleek 15 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/aa1f4fca4ea224d934b025bb81e5ea1f.png;275;2;data\img\BeatsSenses_ShrinkLataSleek15x269ml.png
Beats GT;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5fa41124be619a417b96bb4ca0c97229.png;295;2;data\img\BeatsGT_LataSleek269ml.png
Brahma Chopp;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7027eca008aa1ab7f0f1aa1d690f115d.png;570;2;data\img\BrahmaChopp_PackCartaoGarrafaVidro6x355ml.png
Bohemia Puro Malte;Regular - Esquerda;Pack Cartão Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/70c0f8cdd41ce8ebb7c87bbd3b48d970.png;1090;2;data\img\BohemiaPuroMalte_PackCartaoLataStd12x350ml.png
Bohemia Puro Malte;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/772088c0a878b513694e012d44db3bdd.png;1100;2;data\img\BohemiaPuroMalte_GarrafaVidro330ml.png
Budweiser Zero;Regular - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1140901e32a9c9f961a8fd79f992fc9c.png;1350;2;data\img\BudweiserZero_LataSleek350ml.png
Colorado Ribeirão Lager;Suada - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/2c1b38ce150c1372196d1e631cfd2360.png;1845;2;data\img\ColoradoRibeiraoLager_LataSleek350ml.png
Colorado Morena Tropicana;Regular - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c80a7a368cbb07ad225e0da1ec143942.png;2030;2;data\img\ColoradoMorenaTropicana_GarrafaVidro600ml.png
Legítima do Ceará;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3afe0cc3a5b0667fc737c8dfca50df7a.png;2120;2;data\img\LegitimadoCeara_GarrafaVidro600ml.png
Berrió do Piauí;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ce2027e033a80c308dc6925de6aea760.png;2135;2;data\img\BerriodoPiaui_GarrafaVidro600ml.png
Patagonia Amber Lager;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9ec60f70dc379bf2c3c7f23dd270f51e.png;2310;2;data\img\PatagoniaAmberLager_LataStd473ml.png
Patagonia Weisse;Suada - Frontal;Garrafa Vidro 740ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/711ed0dbc42faa7e60fabd10668008a1.png;2385;2;data\img\PatagoniaWeisse_GarrafaVidro740ml.png
Beats GT;Regular - Esquerda;Pack Cartão Lata Sleek 8 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c8445ad2bfc0723b65f73b1dcf3a8892.png;310;3;data\img\BeatsGT_PackCartaoLataSleek8x269ml.png
Brahma Duplo Malte;Regular - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/65deba217c7206a8a13fa792bab91579.png;580;3;data\img\BrahmaDuploMalte_LataSleek350ml.png
Brahma Extra Weiss;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b1bf0ddeaf76b8f67942e9ee5d854739.png;795;3;data\img\BrahmaExtraWeiss_PackCartaoGarrafaVidro6x355ml.png
Original;Open GPI - Esquerda;Pack Cartão Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9f7883e1dfcf7104b5a9612f7a71aeac.png;980;3;data\img\Original_PackCartaoLataStd12x350ml.png
Leffe Brown;Garrafa e Cálice 330ml;Acessório Garrafa e Cálice 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6fb43ac955df759e885f6d27599b5fb0.png;2560;3;data\img\LeffeBrown_AcessorioGarrafaeCalice330ml.png
Guaraná Antarctica Natu;Suada - Frontal;Lata Std 260ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d37be5b223b8c0a0b63dccdc556c9085.png;2985;3;data\img\GuaranaAntarcticaNatu_LataStd260ml.png
Beats CaipiBeats;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c1c13765b7a0773ec3c8dda0b33ccce6.png;335;4;data\img\BeatsCaipiBeats_LataSleek269ml.png
Bohemia Puro Malte;Regular - Esquerda;Shrink Lata Std 12 x 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/60ba18e6c3a6ecbfaed3188cfce78c8c.png;1085;4;data\img\BohemiaPuroMalte_ShrinkLataStd12x473ml.png
Bohemia 14 Weiss;Com espuma;Acessório Weizen;https://www.catalogoambev.com.br/images/uploads/artes-finais/5115fb5128ad20efd803aa8592b17830.png;1155;4;data\img\Bohemia14Weiss_AcessorioWeizen.png
Serramalte;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1f6933a0c87411e01dcfa931d56cc7dd.png;1690;4;data\img\Serramalte_GarrafaVidro300ml.png
Colorado Demoiselle;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c9ba054df2eb730c6392e5b60781df45.png;1925;4;data\img\ColoradoDemoiselle_AcessorioCaldereta350ml.png
