Ano;Mês;Tipo Operação;Código Abreviado Produto;Nome SKU;volume;caixas;unidades;faturamento;cobertura
2023;1;"DIRETA";22202;"TONICA ANTARCTICA ZERO PET 1L SH C/06";232,92;3882;23292;142691,61;
2023;1;"DIRETA";18341;"PEPSI COLA PET 3000 ML C/04 SHRINK LISO .";127,2;1060;4240;31921,66;
2023;1;"DIRETA";7985;"GATORADE MARACUJA PET 500ML SIXPACK";373,11;12437;74622;300350,32;
2023;1;"DIRETA";19303;"TONICA ANTARCTICA LT 269ML SH C/15";63,71;1579;23685;39353,8;
2023;1;"DIRETA";9088;"SODA LIMONADA ANTARCTICA DIET LATA 350ML SH C/12 NPAL";43,43;1034;12408;22926,75;
2023;1;"DIRETA";4409;"PEPSI TWIST PET 2L SHRINK C/6";482,64;4022;24132;126790,69;
2023;1;"DIRETA";7981;"GATORADE LARANJA PET 500ML SIXPACK";363,36;12112;72672;297013,59;
2023;1;"DIRETA";11191;"LIPTON PESSEGO PET 1,5 SHRINK C/6 HF";37,53;417;2502;11981,07;
2023;1;"DIRETA";503;"SUKITA PET 2L CAIXA C/6";2546,16;21218;127308;606744,73;
2023;1;"DIRETA";14842;"PEPSI COLA LT 269ML SH C/15";360,93;8945;134175;223812,98;
2023;1;"DIRETA";21391;"ÃGUA MINERAL S/ GÃS AMA PET 1,5L CAIXA C/6 NPAL";2,97;33;198;371,3;
2023;1;"DIRETA";14844;"GUARANA CHP ANTARCTICA LT 269ML SH C/15";642,86;15932;238980;401264,45;
2023;1;"DIRETA";9274;"PEPSI ZERO LATA 350ML SH C/12 NPAL";263,68;6278;75336;140448,14;
2023;1;"DIRETA";13065;"H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL";922,5;10250;61500;339859,1;
2023;1;"DIRETA";1166;"SUKITA UVA PET 2L CAIXA C/6";916,44;7637;45822;219207,36;
2023;1;"DIRETA";8418;"PEPSI COLA PET 1500 CX06";89,82;998;5988;22170,4;
2023;1;"DIRETA";8793;"H2OH LIMÃO C/GAS PET 1,5L CAIXA C/6";656,46;7294;43764;242672,73;
2023;1;"DIRETA";9093;"PEPSI TWIST LATA 350ML SH C/12 NPAL";50,78;1209;14508;27320,75;
2023;1;"DIRETA";9092;"TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL";638,86;15211;182532;445763,09;
2023;1;"DIRETA";2350;"SODA LIMONADA ANTARCTICA PET 2L CAIXA C/6";709,56;5913;35478;187736,89;
2023;1;"DIRETA";8921;"GUARANA CHP ANTARCTICA DIET PET 600ML CX12 NPAL";367,42;5103;61236;188880,43;
2023;1;"DIRETA";19305;"TONICA ANTARCTICA ZERO LT 269ML SH C/15";55,64;1379;20685;35639,47;
2023;1;"DIRETA";7980;"GATORADE TANGERINA PET 500ML SIXPACK";510,51;17017;102102;403244,39;
2023;1;"DIRETA";8933;"SODA LIMONADA ANTARCTICA PET 600ML CX12 NPAL";63,65;884;10608;32195,49;
2023;1;"DIRETA";7983;"GATORADE MORANGO-MARACUJA PET 500ML SIXPACK";587,76;19592;117552;464866,92;
2023;1;"DIRETA";9085;"GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL";389,84;9282;111384;211864,79;
2023;1;"DIRETA";9276;"PEPSI ZERO PET 2L CAIXA C/6";944,64;7872;47232;247860,01;
2023;1;"DIRETA";504;"PEPSI COLA PET 2L CAIXA C/6";2433,6;20280;121680;644888,67;
2023;1;"DIRETA";18152;"GUARANA CHP ANTARCTICA PET 200ML SH C/12";700,73;29197;350364;450974,73;
2023;1;"DIRETA";7982;"GATORADE LIMÃO PET 500ML SIXPACK";505,05;16835;101010;404886,84;
2023;1;"DIRETA";18137;"GUARANA CHP ANTARCTICA PET 3L C/04 SHRINK LISO";302,88;2524;10096;76275,87;
