Ano;Mês;Tipo Operação;Código Abreviado Produto;Nome SKU;volume;caixas;unidades;faturamento;cobertura
2022;2;"DIRETA";503;"SUKITA PET 2L CAIXA C/6";13073,4;108945;653670;2422694,44;
2022;2;"DIRETA";1166;"SUKITA UVA PET 2L CAIXA C/6";2577,48;21479;128874;475016,46;
2022;2;"DIRETA";9276;"PEPSI ZERO PET 2L CAIXA C/6";453,84;3782;22692;107178,72;
2022;2;"DIRETA";7982;"GATORADE LIMÃO PET 500ML SIXPACK";1706,16;56872;341232;1182496,74;
2022;2;"DIRETA";22200;"TONICA ANTARCTICA PET 1 L SH C/06";150,36;2506;15036;90579,37;
2022;2;"DIRETA";22202;"TONICA ANTARCTICA ZERO PET 1L SH C/06";129;2150;12900;77653,56;
2022;2;"DIRETA";13486;"FUSION PET 1L SH C/06";148,5;2475;14850;92616,91;
2022;2;"DIRETA";7977;"GATORADE UVA PET 500ML SIXPACK";1844,22;61474;368844;1285792,9;
2022;2;"DIRETA";2349;"GUARANA CHP ANTARCTICA PET 2L CAIXA C/6";8367,48;69729;418374;2343543,18;
2022;2;"DIRETA";7983;"GATORADE MORANGO-MARACUJA PET 500ML SIXPACK";1212,12;40404;242424;836578,84;
2022;2;"DIRETA";7980;"GATORADE TANGERINA PET 500ML SIXPACK";910,65;30355;182130;629834,43;
2022;2;"DIRETA";18137;"GUARANA CHP ANTARCTICA PET 3L C/04 SHRINK LISO";429,48;3579;14316;97736,8;
2022;2;"DIRETA";2132;"GUARANA CHP ANTARCTICA PET 1L CAIXA C/6 NOVA RIO";412,98;6883;41298;114772,02;
2022;2;"DIRETA";2354;"SODA LIMONADA ANTARCTICA DIET PET 2L CAIXA C/6";73,44;612;3672;16894,55;
2022;2;"DIRETA";7985;"GATORADE MARACUJA PET 500ML SIXPACK";946,38;31546;189276;653003,39;
2022;2;"DIRETA";7981;"GATORADE LARANJA PET 500ML SIXPACK";1089;36300;217800;754648,37;
2022;2;"DIRETA";7979;"GATORADE FRUTAS CITRICAS PET 500ML SIXPACK";711,87;23729;142374;491517,62;
2022;2;"DIRETA";23163;"SUKITA TUBAINA PET 2L SHRINK C/6";99,6;830;4980;18303,58;
2022;2;"DIRETA";18341;"PEPSI COLA PET 3000 ML C/04 SHRINK LISO .";53,16;443;1772;12049,2;
2022;2;"DIRETA";2357;"BARE GUARANA PET 2L CAIXA C/6";19076,88;158974;953844;3217588,22;
2022;2;"DIRETA";23463;"ÃGUA MINERAL S/ GÃS AMA GFA PET 500ML PACK C/12 NOVO SHAPE";78;1300;15600;16003,29;
2022;2;"DIRETA";21441;"SUKITA LIMAO PET 2L CAIXA C/6";774,6;6455;38730;141327,18;
2022;2;"DIRETA";17163;"BARE GUARANA PET 1L CAIXA C/6";4370,58;72843;437058;990530,33;
2022;2;"DIRETA";18266;"PEPSI COLA PET 200ML SH C/12";579,02;24126;289512;280396,36;
2022;2;"DIRETA";19164;"GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK";322,9;16145;32290;72765,38;
2022;2;"DIRETA";7947;"GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6";1601,85;10679;64074;360845,14;
2022;2;"DIRETA";23731;"GATORADE MELANCIA-MORANGO PET 500ML SIXPACK";84,39;2813;16878;60996,64;
