Tipo Operação,Sigla UF,Nome Fantasia,Operação,Código UNB,Data,Código Abreviado Produto,Nome SKU,Fator HL,Quantidade de Produtos por Unidade de Medida,1. Volume Sellin (hl) Real,Faturamento Sellin (R$),TTV
DIRETA,GO,SUPER STORE CAMPINAS,Indefinido,60061,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"6,0000","R$1447,18","$4,82"
DIRETA,GO,STORE NAPOLI,Indefinido,67275,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"6,0000","R$1447,18","$4,82"
DIRETA,GO,STORE CANDIDA,Indefinido,67370,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"6,0000","R$1447,18","$4,82"
DIRETA,GO,STORE URIAS,Indefinido,67371,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"8,4000","R$2026,05","$4,82"
DIRETA,DF,S03 SUPERCEI 30/34 P SUL,Indefinido,70118,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"1,2000","R$296,28","$4,94"
DIRETA,AM,CDL CENTRO,Indefinido,70828,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"3,6000","R$863,94","$4,80"
DIRETA,GO,STORE ST AFONSOS,Indefinido,71965,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"8,4000","R$2026,05","$4,82"
DIRETA,GO,STORE FAMA,Indefinido,72466,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"6,0000","R$1447,18","$4,82"
DIRETA,GO,EMPORIO JAMEI,Indefinido,72773,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"0,2400","R$57,87","$4,82"
DIRETA,GO,STORE APARECIDA,Indefinido,74570,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"24,0000","R$5788,74","$4,82"
DIRETA,DF,B02 BELLAVIA RECANTO,Indefinido,75638,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"2,4000","R$592,58","$4,94"
DIRETA,RR,ATACADAO BV,Indefinido,76519,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"36,0000","R$8542,08","$4,75"
DIRETA,DF,ASSAI CEILANDIA DF,Indefinido,78812,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"24,0000","R$5759,64","$4,80"
DIRETA,AM,ATACK ALVORADA,Indefinido,81667,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"3,6000","R$863,94","$4,80"
DIRETA,GO,STORE BELA VISTA,Indefinido,82630,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"8,4000","R$2026,05","$4,82"
DIRETA,GO,STORE SHOPPING AMERICA,Indefinido,82893,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"14,4000","R$3473,23","$4,82"
DIRETA,DF,B10 BELLAVIA TAGUATINGA,Indefinido,88611,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"1,2000","R$296,28","$4,94"
DIRETA,GO,STORE JD SALVADOR,Indefinido,90833,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"12,0000","R$2894,37","$4,82"
DIRETA,DF,SUPERBOM LOJA 09  VICENTE PIRES,Indefinido,93572,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"0,6000","R$138,83","$4,63"
DIRETA,DF,SUPERBOM LOJA 12 CL 212,Indefinido,93575,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"0,6000","R$138,83","$4,63"
DIRETA,DF,SUPERBOM LOJA 14 VP,Indefinido,93924,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"0,0000","R$0,00",NaN
DIRETA,GO,EMPORIO JARDINS,Indefinido,94041,2023-01-02 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"0,6000","R$144,71","$4,82"
DIRETA,DF,BIG BOX 106N,Indefinido,37231,2023-01-03 00:00:00,503,SUKITA PET 2L CAIXA C/6,"0,1200",6,"0,3600","R$88,88","$4,94"
